article_id,ticker,company,headline,source,url,published_at,seen_at,source_timestamp,trading_date,timestamp_basis,gkg_record_id,company_match_reason,finbert_label,finbert_confidence,sentiment_score,human_label,human_notes
ab21f30429e091300c4c1e08639068e8197d1081,LT.NS,Larsen & Toubro,"BHEL rallies 5% on reports of outbidding L&T in NLC's Rs 19,422-cr Odisha project",moneycontrol.com,https://www.moneycontrol.com/news/business/markets/bhel-rallies-5-on-reports-of-outbidding-lt-in-nlcs-rs-19422-cr-odisha-project-11982051.html,,2024-01-01T11:15:00+05:30,20240101054500,2024-01-01,gdelt_gkg_observation,20240101054500-543,Direct headline match with company alias,,,,DIRECTLY_RELEVANT,Material tender outcome: BHEL outbids Larsen & Toubro in major thermal power EPC project.
94a5133ec49e6f57897a5f9d9e1d3c03dbc597ae,LT.NS,Larsen & Toubro,Bengaluru Suburban Rail Project Dream Inches Closer As L&T Set To Build 46.88 Km Kanaka Line,oneindia.com,https://www.oneindia.com/bengaluru/bengaluru-suburban-rail-project-dream-inches-closer-as-l-t-set-to-build-46-88-km-kanaka-line-3716825.html,2024-01-01T17:15:00+05:30,2024-01-01T18:15:00+05:30,20240101124500,2024-01-02,publisher_published_at,20240101124500-378,Direct headline match with company alias,,,,DIRECTLY_RELEVANT,L&T infrastructure contract to construct 46.88 km Kanaka corridor for Bengaluru suburban rail.
a563088455f6e920e3adf2880dbc819d46187f41,LT.NS,Larsen & Toubro,MEED | L&T wins Amaala utilities EPC work,meed.com,https://www.meed.com:443/lt-wins-amaala-utilities-epc-work,,2024-01-03T15:00:00+05:30,20240103093000,2024-01-03,gdelt_gkg_observation,20240103093000-1124,Direct headline match with company alias,,,,DIRECTLY_RELEVANT,L&T wins major overseas utilities EPC contract for Amaala ultra-luxury tourism project in Saudi Arabia.
1510979f9236b7339726a80e64e7d48bb1e11953,LT.NS,Larsen & Toubro,Broker's call: L&T Fin Holdings (Buy) - The Hindu BusinessLine,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/brokers-call-lt-fin-holdings-buy/article67702308.ece,2024-01-03T18:53:00+05:30,2024-01-03T21:15:00+05:30,20240103154500,2024-01-04,publisher_published_at,20240103154500-606,Direct headline match with company alias,,,,INDIRECTLY_RELEVANT,Brokerage recommendation on L&T Finance Holdings (consolidated lending subsidiary of parent L&T).
cff92bcd5877bbc8878755b67e25a60097fc4ba4,LT.NS,Larsen & Toubro,L&T Finance expects 31% retail loan growth in third quarter,moneycontrol.com,https://www.moneycontrol.com/news/business/lt-finance-expects-31-retail-loan-growth-in-third-quarter-12000211.html,,2024-01-04T19:45:00+05:30,20240104141500,2024-01-05,gdelt_gkg_observation,20240104141500-1368,Direct headline match with company alias,,,,INDIRECTLY_RELEVANT,Quarterly business update and retail loan disbursement growth for L&T Finance subsidiary.
054707ec100c0a4479041af3666b42b1fcea1d22,LT.NS,Larsen & Toubro,"What's common between SG Mart, L&T, Filatex Fashions and Jai Balaji Industries? Big gainers on AMFI list",moneycontrol.com,https://www.moneycontrol.com/news/business/personal-finance/whats-common-between-sg-mart-lt-filatex-fashions-and-jai-balaji-industries-big-gainers-on-amfi-list-12003171.html,,2024-01-05T12:00:00+05:30,20240105063000,2024-01-05,gdelt_gkg_observation,20240105063000-1040,Direct headline match with company alias,,,,DIRECTLY_RELEVANT,Market capitalization reclassification: L&T featured among top market cap gainers on AMFI list.
51006e57c34eaef34abfa05cd19efcc113edcec5,LT.NS,Larsen & Toubro,"L&T Finance Holdings Ltd Share Latest News : इस स्टॉक के अहम स्‍तरों को समझें, होगा अच्‍छा मुनाफा",sharemanthan.in,https://www.sharemanthan.in/462-advice/73680-market-outlook-l-and-t-finance-holdings-shares-shomesh-kumar-20240104,,2024-01-04T22:00:00+05:30,20240104163000,2024-01-05,gdelt_gkg_observation,20240104163000-T296,Direct headline match with company alias,,,,INDIRECTLY_RELEVANT,Stock analysis and outlook for L&T Finance Holdings subsidiary.
ca8bdaa48010abeae80d70d22ebd2dfe8689ec81,LT.NS,Larsen & Toubro,"Adani Ports, L&T, TCS top gainers on Nifty50; HDFC Bank, ICICI most active on Jan 5",businesstoday.in,https://www.businesstoday.in/visualstories/stock/adani-ports-l-t-tcs-top-gainers-on-nifty50-hdfc-bank-icici-most-active-on-jan-5-86655-05-01-2024,2024-01-05T18:09:00+05:30,2024-01-05T19:00:00+05:30,20240105133000,2024-01-08,publisher_published_at,20240105133000-1305,Direct headline match with company alias,,,,DIRECTLY_RELEVANT,Nifty 50 daily market action: L&T featured among benchmark index top gainers.
251d8ecd0e04aab329b0a43a21190bc4ef27014f,LT.NS,Larsen & Toubro,L&T shares hit 52-week high on UBS upgrade with 23% upside in target price,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/lt-shares-hit-52-week-high-on-ubs-upgrade-with-23-upside-in-target-price-12014581.html,,2024-01-08T13:30:00+05:30,20240108080000,2024-01-08,gdelt_gkg_observation,20240108080000-785,Direct headline match with company alias,,,,DIRECTLY_RELEVANT,L&T stock hits 52-week high following UBS upgrade and 23% target price hike.
539d11106063a14a406911ccbab9a8870fcde42a,LT.NS,Larsen & Toubro,"अशोक सिंघल से मुलाकात, राम भक्त बन कर प्रोजक्ट पूरा करने की बात, राम मंदिर बनाने वाली कंपनी L&T, जिसने कई चुनौतियों को पार करके देश का मान बढ़ाया",prabhasakshi.com,https://www.prabhasakshi.com/mri/meeting-with-ashok-singhal-know-about-lt-company-that-built-ram-temple,,2024-01-05T21:00:00+05:30,20240105153000,2024-01-08,gdelt_gkg_observation,20240105153000-T1939,Direct headline match with company alias,,,,DIRECTLY_RELEVANT,Detailed corporate and engineering profile of Larsen & Toubro as builder of Ayodhya Ram Temple.
